20,52,243,
19,48,240,
19,36,242,
19,38,244,
19,38,247,
19,37,251,
20,38,261,
19,35,262,
18,38,276,
18,48,269,
19,42,265,
5,36,270,
3,48,271,
5,38,263,
48,50,258,
4,43,249,
3,37,259,
3,35,248,
3,49,249,
3,38,239,
3,36,234,
6,40,231,
5,46,239,
3,39,224,
3,39,221,
4,50,216,
4,46,218,
3,38,208,
2,34,207,
3,48,200,
4,50,204,
2,32,195,
58,32,198,
0,53,198,
32,58,223,
29,52,194,
34,53,193,
39,52,200,
38,60,183,
46,46,197,
23,66,182,
23,48,182,
23,53,198,
22,55,194,
22,46,175,
25,46,174,
25,57,172,
24,66,177,
6,47,179,
4,47,169,
4,63,166,
3,59,179,
25,48,174,
25,48,164,
26,52,163,
27,48,173,
27,49,160,
27,49,160,
29,67,160,
31,57,178,
33,81,165,
46,56,184,
33,52,161,
25,74,162,
25,54,174,
29,58,174,
25,54,160,
26,64,170,
28,54,178,
31,58,158,
26,67,156,
24,75,156,
23,50,168,
21,51,170,
24,66,177,
25,54,164,
28,55,154,
24,70,155,
25,62,158,
26,57,149,
40,45,165,
39,65,153,
42,67,153,
42,67,151,
42,77,154,
45,50,162,
42,50,169,
42,63,164,
42,51,166,
43,51,164,
42,53,164,
54,38,137,
48,51,142,
49,38,135,
50,41,135,
51,43,144,
39,59,138,
42,57,135,
50,44,135,
37,44,144,
56,42,134,
48,51,131,
58,33,126,
5,34,130,
3,84,150,
4,49,138,
51,71,146,
42,74,145,
46,54,163,
42,56,165,
42,55,164,
38,77,144,
37,56,183,
42,54,182,
26,83,156,
32,66,147,
31,66,139,
27,62,157,
37,71,148,
