ypr	-77.83	-11.51	-76.45
ypr	-76.66	-11.89	-76.55
ypr	-75.63	-12.47	-76.20
ypr	-76.76	-13.05	-75.33
ypr	-80.35	-13.36	-73.96
ypr	-83.20	-13.35	-71.81
ypr	-85.10	-13.29	-69.45
ypr	-86.53	-13.51	-67.54
ypr	-87.30	-13.67	-65.98
ypr	-87.94	-13.95	-64.74
FIFO overflow!
ypr	43.98	-12.72	-67.17
ypr	44.93	-12.89	-66.12
ypr	45.50	-13.06	-65.12
ypr	45.79	-13.15	-64.07
ypr	46.54	-13.10	-62.75
ypr	47.39	-12.92	-61.45
ypr	48.06	-12.77	-60.34
ypr	48.49	-12.68	-59.62
ypr	48.98	-12.62	-58.96
ypr	49.46	-12.73	-58.05
ypr	50.25	-12.83	-56.84
ypr	51.79	-12.68	-55.31
ypr	54.17	-12.37	-53.50
ypr	56.53	-12.26	-51.79
ypr	58.06	-12.23	-50.32
ypr	59.20	-12.38	-49.16
ypr	59.53	-12.61	-48.58
ypr	59.67	-12.69	-48.35
ypr	59.91	-12.58	-48.16
ypr	60.69	-12.41	-47.79
FIFO overflow!
ypr	68.67	-9.91	-23.13
ypr	68.72	-9.82	-22.36
ypr	69.16	-9.35	-21.67
ypr	69.74	-8.94	-20.95
ypr	70.07	-8.59	-20.38
ypr	70.60	-8.11	-19.95
ypr	70.71	-8.00	-19.09
ypr	70.54	-7.92	-18.08
ypr	-180.00	-0.08	0.08
ypr	179.99	0.19	2.11
ypr	180.00	-0.05	1.67
ypr	-180.00	-0.15	1.13
ypr	-179.99	-0.41	0.88
ypr	-179.99	-0.42	1.26
ypr	-179.99	-0.53	1.01
ypr	-179.99	-0.05	0.96
ypr	180.00	-0.06	0.76
ypr	-180.00	0.00	0.16
ypr	-179.99	0.11	-0.76
ypr	-179.99	0.27	-1.30
FIFO overflow!
ypr	48.13	-5.06	-67.77
ypr	45.24	-5.44	-69.11
ypr	43.62	-5.55	-69.67
ypr	43.07	-5.78	-69.75
ypr	41.80	-6.05	-70.12
ypr	40.52	-6.46	-70.34
ypr	39.93	-6.75	-70.20
ypr	40.02	-6.91	-69.85
ypr	39.49	-7.26	-70.01
ypr	38.61	-7.78	-70.39
ypr	37.62	-8.33	-70.70
ypr	37.15	-8.82	-70.72
ypr	37.42	-9.01	-70.42
ypr	37.59	-9.35	-69.90
ypr	37.19	-9.66	-69.79
ypr	36.23	-9.70	-70.51
ypr	35.69	-9.67	-71.16
ypr	36.15	-9.73	-71.07
ypr	36.95	-9.97	-70.69
ypr	38.16	-10.07	-70.50
ypr	39.24	-9.74	-70.65
FIFO overflow!
ypr	-63.52	-10.22	-68.63
ypr	-65.71	-9.95	-67.28
ypr	-67.19	-9.76	-66.13
ypr	-69.35	-9.70	-63.71
ypr	-72.44	-9.85	-59.00
ypr	-75.29	-9.91	-52.88
ypr	-77.50	-9.70	-47.31
ypr	-78.58	-9.27	-43.83
ypr	-79.24	-9.20	-42.12
ypr	-79.84	-9.17	-40.28
ypr	-80.69	-9.10	-37.55
ypr	-81.71	-8.81	-33.57
ypr	-82.42	-8.40	-28.78
ypr	-82.96	-8.26	-24.16
ypr	-83.55	-8.46	-19.78
ypr	-83.73	-8.45	-16.28
ypr	-83.95	-8.36	-14.18
ypr	-84.19	-8.13	-11.79
ypr	-84.37	-7.67	-8.98
ypr	-84.33	-7.09	-6.24
FIFO overflow!
ypr	-83.00	-1.73	11.73
ypr	-82.88	-1.56	11.58
ypr	-82.77	-1.45	11.59
ypr	-82.70	-1.42	11.31
ypr	-82.70	-1.55	10.71
ypr	-82.71	-1.91	9.86
ypr	-82.84	-2.36	8.32
ypr	-82.90	-2.99	6.00
ypr	-82.56	-3.45	4.17
ypr	-81.99	-4.49	3.89
ypr	-81.57	-5.46	3.31
ypr	-81.49	-6.60	2.54
ypr	-81.44	-7.81	1.59
ypr	-81.42	-9.31	1.31
ypr	-81.42	-10.79	1.22
ypr	-81.39	-12.39	1.09
ypr	-81.57	-14.01	0.66
ypr	-81.74	-15.54	-0.12
ypr	-81.95	-17.17	-0.67
ypr	-82.29	-18.73	-0.95
ypr	-82.74	-20.00	-1.31
FIFO overflow!
ypr	-86.56	-22.36	-5.30
ypr	-86.08	-21.17	-5.59
ypr	-85.52	-20.28	-5.88
ypr	-84.87	-19.39	-5.97
ypr	-84.37	-18.42	-5.93
ypr	-84.27	-17.30	-5.74
ypr	-84.40	-15.95	-5.37
ypr	-84.53	-14.48	-4.85
ypr	-84.11	-12.95	-4.62
ypr	-83.30	-11.40	-4.75
ypr	-82.35	-9.89	-5.49
ypr	-81.41	-8.30	-7.28
ypr	-80.58	-6.65	-9.64
ypr	-79.95	-4.96	-10.63
ypr	-79.67	-3.37	-10.78
ypr	-79.65	-1.69	-10.45
ypr	-79.66	0.08	-9.93
ypr	-79.62	1.92	-9.43
ypr	-79.52	3.74	-9.11
ypr	-79.32	5.44	-8.95
FIFO overflow!
ypr	-80.92	16.57	0.44
ypr	-80.82	16.19	0.25
ypr	-80.93	15.70	0.05
ypr	-81.15	15.16	-0.14
ypr	-81.32	14.36	-0.28
ypr	-81.49	13.33	-0.48
ypr	-81.55	12.49	-0.74
ypr	-81.46	11.78	-1.20
ypr	-81.18	10.93	-1.64
ypr	-80.96	9.77	-1.53
ypr	-80.83	8.38	-0.76
ypr	-80.85	6.69	0.23
ypr	-80.73	5.09	0.94
ypr	-80.48	3.85	1.03
ypr	-80.17	2.68	0.27
ypr	-79.81	1.30	-0.73
ypr	-79.60	-0.42	-1.44
ypr	-79.61	-2.24	-1.75
ypr	-79.75	-3.99	-1.88
ypr	-79.90	-5.52	-1.92
ypr	-80.03	-7.02	-2.01
ypr	-80.29	-8.64	-2.25
FIFO overflow!
ypr	-77.88	-19.90	-0.02
ypr	-77.85	-19.78	-0.08
ypr	-77.57	-19.87	0.11
ypr	-77.32	-20.10	0.69
ypr	-77.11	-20.42	1.46
